Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,929.000000,999.000000,915.000000,985.250000,977.828308,6251879
2020-04-17,1001.099976,1017.700012,956.299988,975.500000,968.151733,5761623
2020-04-20,975.500000,982.200012,957.000000,975.500000,968.151733,2557331
2020-04-21,958.000000,962.200012,932.450012,936.700012,929.644104,3717567
2020-04-22,936.700012,955.250000,922.549988,951.400024,944.233337,2779272
2020-04-23,922.250000,935.500000,905.000000,912.599976,905.725586,7009187
2020-04-24,910.000000,926.900024,893.099976,906.049988,899.224915,4692972
2020-04-27,914.200012,938.000000,912.049988,927.750000,920.761475,3816089
2020-04-28,930.349976,940.000000,917.000000,932.849976,925.823059,2548149
2020-04-29,932.000000,933.599976,918.000000,925.400024,918.429199,2514908
2020-04-30,935.200012,978.950012,929.000000,970.049988,962.742798,4336412
2020-05-04,928.500000,929.000000,886.000000,891.849976,885.131897,4201101
2020-05-05,905.000000,908.849976,877.000000,886.950012,880.268799,5214901
2020-05-06,887.000000,891.950012,861.250000,876.450012,869.847900,3713850
2020-05-07,878.500000,878.500000,846.400024,849.099976,842.703857,4744629
2020-05-08,857.000000,862.500000,830.299988,832.849976,826.576294,4751910
2020-05-11,848.450012,851.400024,824.000000,829.599976,823.350830,3704305
2020-05-12,827.000000,851.000000,822.250000,846.450012,840.073914,5287477
2020-05-13,874.950012,883.950012,856.000000,860.450012,853.968445,3599358
2020-05-14,855.000000,856.000000,841.250000,846.000000,839.627258,2161536
2020-05-15,846.000000,859.799988,842.000000,845.599976,839.230225,2130736
2020-05-18,841.500000,845.000000,810.000000,817.299988,811.143433,4634758
2020-05-19,827.299988,844.150024,818.150024,826.799988,820.571899,3072505
2020-05-20,824.000000,854.000000,818.599976,848.700012,842.306946,3403474
2020-05-21,854.000000,860.000000,843.900024,849.849976,843.448242,2217516
2020-05-22,844.900024,855.950012,837.900024,849.650024,843.249817,1955658
2020-05-26,856.000000,896.950012,855.150024,892.750000,886.025085,5625204
2020-05-27,884.900024,890.750000,868.500000,885.849976,879.177063,3925259
2020-05-28,885.849976,904.099976,875.000000,899.450012,892.674683,3441157
2020-05-29,895.450012,898.000000,875.000000,890.000000,883.295776,4140081
2020-06-01,898.500000,979.000000,898.500000,958.900024,951.676819,9822341
2020-06-02,958.900024,984.000000,946.349976,976.150024,968.796936,4518557
2020-06-03,989.000000,1005.000000,979.700012,984.349976,976.935059,4194237
2020-06-04,970.099976,977.450012,942.349976,971.250000,963.933777,5293647
2020-06-05,977.000000,995.000000,967.000000,990.950012,983.485352,3136137
