Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,527.000000,530.000000,508.350006,517.650024,503.885620,7001494
2020-04-17,529.099976,532.000000,500.000000,509.850006,496.293030,10839705
2020-04-20,517.950012,531.900024,512.000000,524.849976,510.894135,4549088
2020-04-21,511.000000,520.000000,505.899994,512.950012,499.310608,2950307
2020-04-22,512.000000,521.900024,507.049988,518.299988,504.518311,2268496
2020-04-23,519.000000,527.849976,509.299988,523.700012,509.774750,6094748
2020-04-24,522.000000,532.599976,502.100006,503.450012,490.063202,4817852
2020-04-27,511.700012,519.000000,506.500000,511.700012,498.093872,4032316
2020-04-28,518.000000,528.500000,515.549988,520.400024,506.562531,4972775
2020-04-29,525.950012,536.900024,522.099976,528.700012,514.641846,6361689
2020-04-30,541.000000,552.900024,532.349976,546.250000,531.725159,8931956
2020-05-04,515.000000,519.750000,498.000000,502.450012,489.089813,14814506
2020-05-05,506.000000,514.000000,498.200012,499.950012,486.656281,5717678
2020-05-06,503.750000,509.100006,490.000000,506.850006,493.372772,3781531
2020-05-07,508.000000,525.849976,506.350006,516.349976,502.620178,6799899
2020-05-08,526.900024,538.599976,519.200012,536.200012,521.942383,6016020
2020-05-11,541.500000,543.799988,527.200012,530.200012,516.101929,4272574
2020-05-12,525.000000,539.500000,525.000000,533.250000,519.070801,5691969
2020-05-13,542.000000,549.750000,531.400024,544.750000,530.265015,3296409
2020-05-14,532.400024,535.000000,513.950012,515.700012,501.987488,6148398
2020-05-15,520.000000,520.000000,507.399994,510.549988,496.974396,3628530
2020-05-18,511.500000,515.000000,501.500000,504.049988,490.647247,3283979
2020-05-19,510.000000,519.700012,503.299988,512.599976,498.969879,3041594
2020-05-20,515.000000,524.799988,510.700012,519.200012,505.394409,2772920
2020-05-21,519.950012,521.500000,510.049988,520.049988,506.221771,2540109
2020-05-22,517.099976,531.000000,515.099976,529.650024,515.566589,4254552
2020-05-26,533.000000,540.750000,518.849976,520.450012,506.611176,2719781
2020-05-27,521.650024,526.000000,512.049988,523.750000,509.823425,2265885
2020-05-28,528.000000,531.849976,517.150024,529.700012,515.615234,3387672
2020-05-29,529.900024,535.650024,524.450012,530.450012,516.345276,4081245
2020-06-01,538.500000,554.799988,537.049988,543.549988,529.096924,4913055
2020-06-02,543.599976,548.349976,538.000000,547.500000,532.941895,3878973
2020-06-03,554.000000,565.500000,550.000000,553.250000,538.539001,4942023
2020-06-04,557.000000,585.000000,555.650024,582.099976,566.621887,10915145
2020-06-05,588.000000,593.549988,575.000000,579.849976,564.431702,6207096
2020-06-08,585.799988,599.450012,580.099976,590.000000,574.311829,4791151
2020-06-09,594.000000,605.349976,585.000000,586.200012,570.612854,5665593
2020-06-10,591.500000,596.900024,582.500000,590.500000,574.798523,3438670
2020-06-11,591.000000,591.000000,564.750000,571.849976,556.644409,3378322
2020-06-12,550.000000,561.900024,550.000000,554.700012,539.950500,3603893
2020-06-15,557.000000,560.500000,543.400024,548.799988,534.207336,3944724
2020-06-16,556.950012,556.950012,531.150024,533.299988,519.119507,4262594
2020-06-17,531.000000,545.000000,528.400024,535.549988,521.309692,6139224
2020-06-18,535.049988,540.000000,531.000000,535.900024,521.650391,2658663
2020-06-19,538.500000,542.950012,531.900024,538.849976,524.521912,5570067
2020-06-22,541.900024,553.250000,538.299988,548.500000,533.915344,4352621
2020-06-23,548.000000,560.099976,544.549988,558.799988,543.941406,4438315
2020-06-24,558.799988,566.000000,554.400024,560.950012,546.034241,3500477
2020-06-25,558.000000,565.599976,552.049988,554.150024,539.415100,2386979
2020-06-26,555.500000,574.950012,552.599976,560.849976,545.936951,5288935
2020-06-29,558.900024,558.900024,539.200012,541.549988,527.150085,3304988
2020-06-30,547.000000,548.900024,541.549988,543.400024,528.950928,2356985
2020-07-01,544.000000,547.349976,536.049988,545.900024,531.384460,3662491
2020-07-02,549.900024,562.500000,542.500000,560.849976,545.936951,5966748
2020-07-03,565.900024,572.250000,561.049988,567.200012,552.118103,4007490
2020-07-06,574.950012,588.000000,573.049988,581.549988,566.086487,4909636
2020-07-07,583.849976,592.500000,577.099976,586.849976,571.245544,5126702
2020-07-08,589.950012,593.900024,576.099976,583.450012,567.936035,3391014
2020-07-09,583.450012,587.700012,572.049988,577.299988,561.949524,2498146
2020-07-10,572.000000,572.000000,561.349976,569.000000,553.870178,3959401
2020-07-13,571.950012,601.799988,570.500000,600.049988,584.094604,11008252
2020-07-14,594.950012,603.799988,592.549988,598.299988,582.391113,5525588
2020-07-15,604.000000,630.000000,602.000000,615.299988,598.939087,11907668
2020-07-16,627.000000,638.950012,588.099976,599.400024,583.461914,13009798
2020-07-17,604.349976,604.349976,590.200012,599.700012,583.753906,3307397
2020-07-20,603.849976,625.950012,598.500000,622.849976,606.288269,5461610
2020-07-21,630.000000,631.799988,615.349976,620.700012,604.195496,4218944
2020-07-22,618.000000,626.450012,611.549988,617.950012,601.518616,2879564
2020-07-23,612.950012,634.599976,607.000000,632.450012,620.654968,5038587
2020-07-24,632.500000,655.400024,625.250000,652.599976,640.429138,12276883
