Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,590.000000,612.799988,582.000000,600.450012,600.450012,12716342
2020-04-17,615.000000,615.000000,595.000000,598.000000,598.000000,8304173
2020-04-20,598.000000,599.400024,580.000000,585.400024,585.400024,5856150
2020-04-21,578.000000,609.799988,570.000000,592.099976,592.099976,14471856
2020-04-22,594.900024,599.750000,585.000000,587.200012,587.200012,6182243
2020-04-23,590.000000,603.900024,579.049988,586.700012,586.700012,6277840
2020-04-24,586.400024,606.000000,583.599976,599.299988,599.299988,11127889
2020-04-27,600.000000,632.650024,600.000000,608.700012,608.700012,14089786
2020-04-28,616.799988,621.250000,593.250000,598.599976,598.599976,8193422
2020-04-29,605.000000,607.900024,590.099976,596.250000,596.250000,6767183
2020-04-30,607.900024,611.450012,586.099976,589.599976,589.599976,9099721
2020-05-04,589.000000,616.950012,580.599976,611.849976,611.849976,16815950
2020-05-05,623.049988,623.049988,595.000000,596.900024,596.900024,9257154
2020-05-06,597.500000,606.000000,590.000000,591.750000,591.750000,6978135
2020-05-07,598.000000,601.799988,587.500000,589.549988,589.549988,4620871
2020-05-08,598.000000,601.200012,589.500000,591.900024,591.900024,5051303
2020-05-11,600.950012,600.950012,583.450012,586.049988,586.049988,5853892
2020-05-12,587.000000,593.799988,566.200012,570.150024,570.150024,8868938
2020-05-13,600.000000,605.000000,568.900024,570.200012,570.200012,10438589
2020-05-14,571.000000,577.900024,566.099976,569.750000,569.750000,8546002
2020-05-15,572.000000,585.000000,565.599976,570.299988,570.299988,14388403
2020-05-18,570.599976,605.000000,570.500000,600.450012,600.450012,22898114
2020-05-19,600.000000,608.799988,590.200012,594.950012,594.950012,10951060
2020-05-20,597.000000,624.349976,595.400024,620.650024,620.650024,13440063
2020-05-21,620.650024,626.849976,612.299988,616.599976,616.599976,7916771
2020-05-22,616.700012,641.849976,610.099976,639.349976,639.349976,10874832
2020-05-26,640.000000,646.900024,624.049988,627.700012,627.700012,8859302
2020-05-27,630.000000,637.799988,625.799988,633.049988,633.049988,7710100
2020-05-28,634.000000,637.650024,626.049988,628.349976,628.349976,5488625
2020-05-29,633.000000,650.950012,631.000000,648.150024,648.150024,10580203
2020-06-01,649.000000,652.599976,634.549988,642.500000,642.500000,7439123
2020-06-02,644.900024,658.650024,636.000000,637.599976,637.599976,6883363
2020-06-03,646.849976,649.500000,635.299988,641.200012,641.200012,5044700
2020-06-04,643.000000,664.799988,642.500000,660.549988,660.549988,10452388
2020-06-05,665.000000,669.750000,649.000000,650.900024,650.900024,6481383
2020-06-08,656.700012,657.799988,633.049988,635.099976,635.099976,6263334
2020-06-09,638.900024,654.299988,637.049988,640.049988,640.049988,8968365
